player,nationality,position,squad,comp_level,age,birth_year,minutes_90s,header_standard_goals,header_standard_pens_made,header_standard_pens_att,header_standard_shots_total,header_standard_shots_on_target,header_standard_shots_free_kicks,header_standard_shots_on_target_pct,header_standard_shots_total_per90,header_standard_shots_on_target_per90,header_standard_goals_per_shot,header_standard_goals_per_shot_on_target,header_expected_xg,header_expected_npxg,header_expected_npxg_per_shot,header_expected_xg_net,header_expected_npxg_net,matches
Wesley Lautoa,nc NCL,"MF,DF",Dijon,fr Ligue 1,31,1987,20.8,0,0,0,11,0,0,0.0,0.53,0.00,0.00,,0.7,0.7,0.06,-0.7,-0.7,Matches
Diego Laxalt,uy URU,"DF,MF",Torino,it Serie A,26,1993,6.6,0,0,0,5,1,0,20.0,0.76,0.15,0.00,0.00,0.2,0.2,0.04,-0.2,-0.2,Matches
Diego Laxalt,uy URU,DF,Milan,it Serie A,26,1993,1.9,0,0,0,1,1,0,100.0,0.52,0.52,0.00,0.00,0.0,0.0,0.02,0.0,0.0,Matches
Valentino Lazaro,at AUT,"DF,MF",Newcastle Utd,eng Premier League,23,1996,5.3,1,0,0,4,1,0,25.0,0.75,0.19,0.25,1.00,0.5,0.5,0.12,+0.5,+0.5,Matches
Valentino Lazaro,at AUT,"DF,MF",Inter,it Serie A,23,1996,3.6,0,0,0,3,0,0,0.0,0.84,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
Darko Lazović,rs SRB,DF,Hellas Verona,it Serie A,28,1990,34.0,3,0,0,34,16,1,47.1,1.00,0.47,0.09,0.19,2.3,2.2,0.06,+0.7,+0.8,Matches
Manuel Lazzari,it ITA,DF,Lazio,it Serie A,25,1993,26.8,0,0,0,16,9,1,56.3,0.60,0.34,0.00,0.00,1.3,1.3,0.08,-1.3,-1.3,Matches
Mickaël Le Bihan,fr FRA,FW,Nice,fr Ligue 1,29,1990,1.1,0,0,0,2,0,0,0.0,1.80,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
Robin Le Normand,fr FRA,DF,Real Sociedad,es La Liga,22,1996,26.6,1,0,0,12,2,0,16.7,0.45,0.08,0.08,0.50,1.0,1.0,0.09,0.0,0.0,Matches
Damien Le Tallec,fr FRA,"MF,DF",Montpellier,fr Ligue 1,29,1990,27.3,2,0,0,16,7,0,43.8,0.59,0.26,0.13,0.29,1.0,1.0,0.06,+1.0,+1.0,Matches
James Lea Siliki,fr FRA,MF,Rennes,fr Ligue 1,23,1996,12.0,0,0,0,15,3,1,20.0,1.25,0.25,0.00,0.00,1.1,1.1,0.07,-1.1,-1.1,Matches
Rafael Leão,pt POR,FW,Milan,it Serie A,20,1999,14.7,5,0,0,41,14,0,34.1,2.79,0.95,0.12,0.36,4.9,4.9,0.12,+0.1,+0.1,Matches
Adrien Lebeau,fr FRA,MF,Strasbourg,fr Ligue 1,20,1999,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Mathew Leckie,au AUS,"DF,FW",Hertha BSC,de Bundesliga,28,1991,2.2,0,0,0,2,0,0,0.0,0.92,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
Benjamin Lecomte,fr FRA,GK,Monaco,fr Ligue 1,28,1991,28.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Pierre Lees-Melou,fr FRA,MF,Nice,fr Ligue 1,26,1993,25.0,5,0,0,53,21,0,39.6,2.12,0.84,0.09,0.24,3.6,3.6,0.07,+1.4,+1.4,Matches
Jordan Lefort,fr FRA,DF,Amiens,fr Ligue 1,25,1993,9.4,0,0,0,3,1,0,33.3,0.32,0.11,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1,Matches
Wu Lei,cn CHN,"FW,MF",Espanyol,es La Liga,27,1991,19.1,4,0,0,45,15,0,33.3,2.36,0.79,0.09,0.27,5.6,5.6,0.13,-1.6,-1.6,Matches
Toni Leistner,de GER,DF,Köln,de Bundesliga,28,1990,11.2,0,0,0,2,0,0,0.0,0.18,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
Moritz Leitner,de GER,MF,Norwich City,eng Premier League,26,1992,7.6,0,0,0,8,0,0,0.0,1.05,0.00,0.00,,0.2,0.2,0.03,-0.2,-0.2,Matches
Lucas Leiva,br BRA,MF,Lazio,it Serie A,32,1987,20.1,0,0,0,10,3,0,30.0,0.50,0.15,0.00,0.00,0.6,0.6,0.06,-0.6,-0.6,Matches
Florian Lejeune,fr FRA,DF,Newcastle Utd,eng Premier League,28,1991,4.9,2,0,0,4,3,0,75.0,0.81,0.61,0.50,0.67,0.7,0.7,0.17,+1.3,+1.3,Matches
Iñigo Lekue,es ESP,"FW,DF",Athletic Club,es La Liga,26,1993,6.9,0,0,0,3,0,0,0.0,0.43,0.00,0.00,,0.1,0.1,0.05,-0.1,-0.1,Matches
Nicolas Lemaître,fr FRA,GK,Reims,fr Ligue 1,22,1997,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Thomas Lemar,fr FRA,MF,Atlético Madrid,es La Liga,23,1995,10.3,0,0,0,11,3,3,27.3,1.07,0.29,0.00,0.00,0.5,0.5,0.05,-0.5,-0.5,Matches
Tim Lemperle,de GER,"FW,MF",Köln,de Bundesliga,17,2002,0.2,0,0,0,1,0,0,0.0,5.63,0.00,0.00,,0.1,0.1,0.11,-0.1,-0.1,Matches
Clément Lenglet,fr FRA,DF,Barcelona,es La Liga,24,1995,26.9,2,0,0,10,3,0,30.0,0.37,0.11,0.20,0.67,0.9,0.9,0.09,+1.1,+1.1,Matches
Aaron Lennon,eng ENG,MF,Burnley,eng Premier League,32,1987,5.5,0,0,0,1,0,0,0.0,0.18,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
Bernd Leno,de GER,GK,Arsenal,eng Premier League,27,1992,29.4,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Christopher Lenz,de GER,DF,Union Berlin,de Bundesliga,24,1994,25.2,0,0,0,15,3,1,20.0,0.60,0.12,0.00,0.00,0.6,0.6,0.04,-0.6,-0.6,Matches
Donovan Léon,gf GUF,GK,Brest,fr Ligue 1,26,1992,1.4,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Pedro León,es ESP,"MF,FW",Eibar,es La Liga,32,1986,21.1,1,0,0,38,14,6,36.8,1.80,0.66,0.03,0.07,2.8,2.8,0.07,-1.8,-1.8,Matches
Sergio León,es ESP,FW,Levante,es La Liga,30,1989,7.5,1,0,0,22,5,0,22.7,2.95,0.67,0.05,0.20,2.6,2.6,0.12,-1.6,-1.6,Matches
Lukas Lerager,dk DEN,MF,Genoa,it Serie A,26,1993,13.4,1,0,0,12,5,0,41.7,0.89,0.37,0.08,0.20,1.2,1.2,0.10,-0.2,-0.2,Matches
Mehdi Léris,fr FRA,"MF,FW",Sampdoria,it Serie A,21,1998,4.4,0,0,0,8,2,1,25.0,1.81,0.45,0.00,0.00,0.4,0.4,0.06,-0.4,-0.4,Matches
Jefferson Lerma,co COL,MF,Bournemouth,eng Premier League,24,1994,30.0,1,0,0,30,2,0,6.7,1.00,0.07,0.03,0.50,1.3,1.3,0.04,-0.3,-0.3,Matches
Karlo Letica,hr CRO,GK,SPAL,it Serie A,22,1997,9.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Robert Lewandowski,pl POL,FW,Bayern Munich,de Bundesliga,30,1988,30.7,34,5,5,134,59,2,44.0,4.37,1.92,0.22,0.49,27.6,23.8,0.18,+6.4,+5.2,Matches
Jamal Lewis,nir NIR,DF,Norwich City,eng Premier League,21,1998,25.6,1,0,0,9,4,0,44.4,0.35,0.16,0.11,0.25,0.4,0.4,0.04,+0.6,+0.6,Matches
Aaron Leya Iseka,be BEL,FW,Toulouse,fr Ligue 1,21,1997,8.6,2,1,2,25,8,0,32.0,2.90,0.93,0.04,0.13,5.3,3.8,0.15,-3.3,-2.8,Matches
Stephan Lichtsteiner,ch SUI,DF,Augsburg,de Bundesliga,35,1984,14.9,0,0,0,2,0,0,0.0,0.13,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Dimitri Liénard,fr FRA,MF,Strasbourg,fr Ligue 1,31,1988,16.5,2,0,0,34,10,7,29.4,2.06,0.60,0.06,0.20,1.7,1.7,0.05,+0.3,+0.3,Matches
Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,23,1996,20.2,0,0,0,7,2,0,28.6,0.35,0.10,0.00,0.00,1.0,1.0,0.15,-1.0,-1.0,Matches
Matthijs de Ligt,nl NED,DF,Juventus,it Serie A,19,1999,27.2,4,0,0,18,9,0,50.0,0.66,0.33,0.22,0.44,2.5,2.5,0.14,+1.5,+1.5,Matches
Isaac Lihadji,fr FRA,"DF,MF",Marseille,fr Ligue 1,17,2002,0.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Lillo,es ESP,DF,Osasuna,es La Liga,30,1989,2.2,0,0,0,1,0,0,0.0,0.46,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
Anderson Lima,br BRA,MF,Lazio,it Serie A,19,1999,0.6,0,0,0,5,2,0,40.0,7.76,3.10,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
Lucas Lima,br BRA,"FW,DF",Nantes,fr Ligue 1,27,1991,3.0,0,0,0,2,1,1,50.0,0.67,0.33,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1,Matches
Anthony Limbombe,be BEL,"FW,MF",Nantes,fr Ligue 1,25,1994,1.7,1,0,0,2,1,0,50.0,1.19,0.60,0.50,1.00,0.2,0.2,0.12,+0.8,+0.8,Matches
Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,25,1994,34.4,1,0,0,6,1,0,16.7,0.17,0.03,0.17,1.00,0.4,0.4,0.06,+0.6,+0.6,Matches
Karol Linetty,pl POL,MF,Sampdoria,it Serie A,24,1995,21.4,4,0,0,29,8,0,27.6,1.36,0.37,0.14,0.50,1.8,1.8,0.06,+2.2,+2.2,Matches
Jesse Lingard,eng ENG,"MF,FW",Manchester Utd,eng Premier League,26,1992,10.4,1,0,0,22,6,0,27.3,2.12,0.58,0.05,0.17,2.8,2.8,0.13,-1.8,-1.8,Matches
Pol Lirola,es ESP,DF,Fiorentina,it Serie A,21,1997,28.2,0,0,0,23,8,0,34.8,0.82,0.28,0.00,0.00,1.7,1.7,0.08,-1.7,-1.7,Matches
Diego Llorente,es ESP,DF,Real Sociedad,es La Liga,25,1993,25.9,1,0,0,10,4,0,40.0,0.39,0.15,0.10,0.25,1.0,1.0,0.10,0.0,0.0,Matches
Fernando Llorente,es ESP,FW,Napoli,it Serie A,34,1985,5.6,3,0,0,31,11,0,35.5,5.57,1.98,0.10,0.27,4.2,4.2,0.14,-1.2,-1.2,Matches
Marcos Llorente,es ESP,"MF,FW",Atlético Madrid,es La Liga,24,1995,15.2,3,0,0,14,5,0,35.7,0.92,0.33,0.21,0.60,1.9,1.9,0.13,+1.1,+1.1,Matches
Gautier Lloris,fr FRA,DF,Nice,fr Ligue 1,24,1995,3.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Hugo Lloris,fr FRA,GK,Tottenham,eng Premier League,32,1986,20.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Giovani Lo Celso,ar ARG,"MF,FW",Tottenham,eng Premier League,23,1996,16.6,0,0,0,18,3,1,16.7,1.09,0.18,0.00,0.00,1.3,1.3,0.07,-1.3,-1.3,Matches
Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,24,1994,7.5,0,0,0,2,0,0,0.0,0.27,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
Stanislav Lobotka,sk SVK,MF,Celta Vigo,es La Liga,24,1994,15.4,0,0,0,7,2,0,28.6,0.46,0.13,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
Jürgen Locadia,nl NED,FW,Hoffenheim,de Bundesliga,25,1993,5.9,4,1,1,18,10,0,55.6,3.06,1.70,0.17,0.30,3.2,2.5,0.14,+0.8,+0.5,Matches
Jürgen Locadia,nl NED,"MF,FW",Brighton,eng Premier League,25,1993,1.0,0,0,0,2,1,0,50.0,2.09,1.05,0.00,0.00,0.4,0.4,0.19,-0.4,-0.4,Matches
Manuel Locatelli,it ITA,MF,Sassuolo,it Serie A,21,1998,27.2,0,0,0,32,6,4,18.8,1.18,0.22,0.00,0.00,1.8,1.8,0.06,-1.8,-1.8,Matches
Renan Lodi,br BRA,DF,Atlético Madrid,es La Liga,21,1998,26.6,1,0,0,16,3,0,18.8,0.60,0.11,0.06,0.33,0.9,0.9,0.05,+0.1,+0.1,Matches
Ruben Loftus-Cheek,eng ENG,"MF,FW",Chelsea,eng Premier League,23,1996,2.3,0,0,0,4,0,0,0.0,1.73,0.00,0.00,,0.5,0.5,0.12,-0.5,-0.5,Matches
Enzo Loiodice,fr FRA,MF,Dijon,fr Ligue 1,18,2000,2.1,0,0,0,3,0,0,0.0,1.41,0.00,0.00,,0.1,0.1,0.02,-0.1,-0.1,Matches
Kevin Long,ie IRL,DF,Burnley,eng Premier League,28,1990,6.3,0,0,0,2,0,0,0.0,0.32,0.00,0.00,,0.2,0.2,0.12,-0.2,-0.2,Matches
Shane Long,ie IRL,FW,Southampton,eng Premier League,32,1987,15.5,2,0,0,33,13,0,39.4,2.13,0.84,0.06,0.15,4.7,4.7,0.14,-2.7,-2.7,Matches
Matthew Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,19,2000,6.4,2,0,0,4,2,0,50.0,0.63,0.31,0.50,1.00,0.4,0.4,0.10,+1.6,+1.6,Matches
Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,21,1997,15.3,1,0,0,26,6,3,23.1,1.70,0.39,0.04,0.17,1.0,1.0,0.04,0.0,0.0,Matches
Ademola Lookman,eng ENG,"MF,FW",RB Leipzig,de Bundesliga,21,1997,3.4,0,0,0,10,1,0,10.0,2.91,0.29,0.00,0.00,1.1,1.1,0.11,-1.1,-1.1,Matches
Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,28,1990,26.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Rony Lopes,pt POR,FW,Sevilla,es La Liga,23,1995,1.5,0,0,0,2,2,1,100.0,1.34,1.34,0.00,0.00,0.1,0.1,0.07,-0.1,-0.1,Matches
Rony Lopes,pt POR,FW,Monaco,fr Ligue 1,23,1995,0.9,0,0,0,2,0,0,0.0,2.25,0.00,0.00,,0.2,0.2,0.08,-0.2,-0.2,Matches
Adrián López,es ESP,"FW,MF",Osasuna,es La Liga,31,1988,16.0,2,1,1,18,7,0,38.9,1.12,0.44,0.06,0.14,2.7,1.9,0.11,-0.7,-0.9,Matches
David López,es ESP,"DF,MF",Espanyol,es La Liga,29,1989,27.3,4,0,0,15,9,0,60.0,0.55,0.33,0.27,0.44,1.4,1.4,0.09,+2.6,+2.6,Matches
Diego López,es ESP,GK,Espanyol,es La Liga,37,1981,35.9,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Javi López,es ESP,DF,Alavés,es La Liga,17,2002,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Javi López,es ESP,DF,Espanyol,es La Liga,33,1986,15.4,0,0,0,3,0,0,0.0,0.20,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
Lluis López,es ESP,DF,Espanyol,es La Liga,22,1997,3.3,0,0,0,2,0,0,0.0,0.60,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
Maxime Lopez,fr FRA,"MF,FW",Marseille,fr Ligue 1,21,1997,12.3,0,0,0,11,2,0,18.2,0.89,0.16,0.00,0.00,0.8,0.8,0.07,-0.8,-0.8,Matches
Pau López,es ESP,GK,Roma,it Serie A,24,1994,31.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Roberto López,es ESP,MF,Real Sociedad,es La Liga,19,2000,0.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Unai López,es ESP,MF,Athletic Club,es La Liga,23,1995,19.9,1,0,0,28,9,5,32.1,1.41,0.45,0.04,0.11,0.8,0.8,0.03,+0.2,+0.2,Matches
Iker Losada,es ESP,"MF,FW",Celta Vigo,es La Liga,17,2001,0.1,1,0,0,1,1,0,100.0,6.92,6.92,1.00,1.00,0.0,0.0,0.03,+1.0,+1.0,Matches
Albert Lottin,fr FRA,MF,Bordeaux,fr Ligue 1,17,2001,0.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Imran Louza,fr FRA,"MF,FW",Nantes,fr Ligue 1,20,1999,22.3,2,0,0,37,13,3,35.1,1.66,0.58,0.05,0.15,1.9,1.9,0.05,+0.1,+0.1,Matches
Matteo Lovato,it ITA,DF,Hellas Verona,it Serie A,19,2000,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Dejan Lovren,hr CRO,DF,Liverpool,eng Premier League,30,1989,8.6,0,0,0,5,1,0,20.0,0.58,0.12,0.00,0.00,0.4,0.4,0.07,-0.4,-0.4,Matches
Eduard Löwen,de GER,"MF,FW",Augsburg,de Bundesliga,22,1997,7.5,2,0,0,10,6,3,60.0,1.34,0.80,0.20,0.33,0.8,0.8,0.08,+1.2,+1.2,Matches
Eduard Löwen,de GER,MF,Hertha BSC,de Bundesliga,22,1997,3.5,0,0,0,5,0,2,0.0,1.43,0.00,0.00,,0.2,0.2,0.04,-0.2,-0.2,Matches
Matthew Lowton,eng ENG,DF,Burnley,eng Premier League,30,1989,17.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Hirving Lozano,mx MEX,FW,Napoli,it Serie A,24,1995,11.1,4,0,0,33,12,0,36.4,2.98,1.08,0.12,0.33,4.3,4.3,0.13,-0.3,-0.3,Matches
Pol Lozano,es ESP,"MF,FW",Espanyol,es La Liga,19,1999,1.9,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Jan Luca Rumpf,de GER,DF,Paderborn 07,de Bundesliga,20,1999,1.0,0,0,0,1,0,0,0.0,1.00,0.00,0.00,,0.1,0.1,0.07,-0.1,-0.1,Matches
Lucas,br BRA,MF,Hoffenheim,de Bundesliga,20,1999,0.7,1,0,0,1,1,0,100.0,1.38,1.38,1.00,1.00,0.6,0.6,0.64,+0.4,+0.4,Matches
Jean Lucas,br BRA,MF,Lyon,fr Ligue 1,21,1998,2.2,1,0,0,6,2,0,33.3,2.70,0.90,0.17,0.50,0.4,0.4,0.06,+0.6,+0.6,Matches
Fabio Lucioni,it ITA,DF,Lecce,it Serie A,31,1987,32.8,3,0,0,13,4,0,30.8,0.40,0.12,0.23,0.75,1.5,1.5,0.12,+1.5,+1.5,Matches
José Luis Gayà,es ESP,DF,Valencia,es La Liga,24,1995,22.1,0,0,0,9,2,0,22.2,0.41,0.09,0.00,0.00,0.4,0.4,0.05,-0.4,-0.4,Matches
José Luis Morales,es ESP,"FW,MF",Levante,es La Liga,32,1987,28.0,4,0,0,39,14,0,35.9,1.39,0.50,0.10,0.29,4.5,4.5,0.12,-0.5,-0.5,Matches
José Luis Palomino,ar ARG,DF,Atalanta,it Serie A,29,1990,27.2,2,0,0,15,3,0,20.0,0.55,0.11,0.13,0.67,2.6,2.6,0.17,-0.6,-0.6,Matches
José Luis Rodríguez,pa PAN,FW,Alavés,es La Liga,21,1998,0.2,0,0,0,1,1,0,100.0,4.09,4.09,0.00,0.00,0.0,0.0,0.02,0.0,0.0,Matches
David Luiz,br BRA,DF,Arsenal,eng Premier League,32,1987,31.2,2,0,0,23,7,7,30.4,0.74,0.22,0.09,0.29,1.8,1.8,0.08,+0.2,+0.2,Matches
Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,21,1998,29.0,3,0,0,39,12,3,30.8,1.34,0.41,0.08,0.25,2.3,2.3,0.06,+0.7,+0.7,Matches
Jordan Lukaku,be BEL,DF,Lazio,it Serie A,25,1994,3.9,0,0,0,2,0,0,0.0,0.51,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
Romelu Lukaku,be BEL,FW,Inter,it Serie A,26,1993,31.1,23,6,6,93,40,1,43.0,2.99,1.29,0.18,0.43,20.2,15.6,0.17,+2.8,+1.4,Matches
Dodi Lukebakio,cd COD,"FW,MF",Hertha BSC,de Bundesliga,21,1997,22.6,7,0,0,38,18,2,47.4,1.68,0.80,0.18,0.39,6.4,6.4,0.17,+0.6,+0.6,Matches
Saša Lukić,rs SRB,MF,Torino,it Serie A,22,1996,18.7,1,0,0,16,3,0,18.8,0.86,0.16,0.06,0.33,1.1,1.1,0.07,-0.1,-0.1,Matches
Senad Lulić,ba BIH,DF,Lazio,it Serie A,33,1986,17.5,0,0,0,16,3,0,18.8,0.92,0.17,0.00,0.00,1.1,1.1,0.07,-1.1,-1.1,Matches
John Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,25,1994,27.3,5,0,0,44,11,0,25.0,1.61,0.40,0.11,0.45,5.1,5.1,0.12,-0.1,-0.1,Matches
Sebastiano Luperto,it ITA,DF,Napoli,it Serie A,22,1996,5.9,0,0,0,1,0,0,0.0,0.17,0.00,0.00,,0.0,0.0,0.01,0.0,0.0,Matches
Arnaud Lusamba,fr FRA,"MF,FW",Nice,fr Ligue 1,22,1997,10.9,1,0,0,5,3,0,60.0,0.46,0.27,0.20,0.33,0.5,0.5,0.10,+0.5,+0.5,Matches
Andreas Luthe,de GER,GK,Augsburg,de Bundesliga,32,1987,10.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Lyanco,br BRA,DF,Torino,it Serie A,22,1997,12.6,0,0,0,4,0,0,0.0,0.32,0.00,0.00,,0.2,0.2,0.04,-0.2,-0.2,Matches
Charalambos Lykogiannis,gr GRE,DF,Cagliari,it Serie A,25,1993,13.4,0,0,0,14,3,4,21.4,1.05,0.22,0.00,0.00,0.5,0.5,0.03,-0.5,-0.5,Matches
Yann M'Vila,fr FRA,"MF,DF",Saint-Étienne,fr Ligue 1,29,1990,21.6,0,0,0,9,3,0,33.3,0.42,0.14,0.00,0.00,0.4,0.4,0.05,-0.4,-0.4,Matches
Alexis Mac Allister,ar ARG,"MF,FW",Brighton,eng Premier League,20,1998,3.9,0,0,0,7,1,1,14.3,1.79,0.26,0.00,0.00,0.4,0.4,0.05,-0.4,-0.4,Matches
Darwin Machís,ve VEN,"FW,MF",Granada,es La Liga,26,1993,23.7,7,1,1,72,27,2,37.5,3.04,1.14,0.08,0.22,6.1,5.3,0.07,+0.9,+0.7,Matches
Yvann Macon,GPE,DF,Saint-Étienne,fr Ligue 1,20,1998,1.1,0,0,0,1,1,0,100.0,0.95,0.95,0.00,0.00,0.0,0.0,0.02,0.0,0.0,Matches
James Maddison,eng ENG,MF,Leicester City,eng Premier League,22,1996,29.2,6,0,0,74,18,14,24.3,2.54,0.62,0.08,0.33,5.0,5.0,0.07,+1.0,+1.0,Matches
Lisandro Magallán,ar ARG,DF,Alavés,es La Liga,25,1993,13.3,1,0,0,6,1,0,16.7,0.45,0.08,0.17,1.00,0.6,0.6,0.09,+0.4,+0.4,Matches
Francesco Magnanelli,it ITA,MF,Sassuolo,it Serie A,34,1984,15.5,0,0,0,9,0,0,0.0,0.58,0.00,0.00,,0.5,0.5,0.05,-0.5,-0.5,Matches
Giangiacomo Magnani,it ITA,"DF,MF",Brescia,it Serie A,23,1995,1.3,0,0,0,2,1,0,50.0,1.57,0.78,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1,Matches
Giangiacomo Magnani,it ITA,DF,Sassuolo,it Serie A,23,1995,1.6,1,0,0,2,2,0,100.0,1.24,1.24,0.50,0.50,1.0,1.0,0.48,0.0,0.0,Matches
Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,21,1998,2.6,0,0,0,6,2,0,33.3,2.29,0.76,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,26,1993,38.0,1,0,0,32,8,0,25.0,0.84,0.21,0.03,0.13,2.2,2.2,0.07,-1.2,-1.2,Matches
Abdallahi Mahmoud,mr MTN,MF,Alavés,es La Liga,19,2000,1.7,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Riyad Mahrez,dz ALG,FW,Manchester City,eng Premier League,28,1991,21.6,11,1,1,73,30,6,41.1,3.38,1.39,0.14,0.33,7.0,6.3,0.09,+4.0,+3.7,Matches
Thiago Maia,br BRA,MF,Lille,fr Ligue 1,22,1997,0.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Arne Maier,de GER,MF,Hertha BSC,de Bundesliga,20,1999,5.9,0,0,0,6,3,0,50.0,1.01,0.50,0.00,0.00,0.3,0.3,0.05,-0.3,-0.3,Matches
Habib Maïga,ci CIV,MF,Metz,fr Ligue 1,23,1996,25.2,1,0,0,30,9,0,30.0,1.19,0.36,0.03,0.11,1.6,1.6,0.05,-0.6,-0.6,Matches
Mike Maignan,fr FRA,GK,Lille,fr Ligue 1,23,1995,28.0,0,0,0,1,0,0,0.0,0.04,0.00,0.00,,0.0,0.0,0.03,0.0,0.0,Matches
Ainsley Maitland-Niles,eng ENG,DF,Arsenal,eng Premier League,21,1997,15.4,0,0,0,4,1,0,25.0,0.26,0.06,0.00,0.00,0.3,0.3,0.08,-0.3,-0.3,Matches
Josh Maja,ng NGA,FW,Bordeaux,fr Ligue 1,20,1998,8.2,6,0,0,18,12,0,66.7,2.20,1.47,0.33,0.50,3.6,3.6,0.20,+2.4,+2.4,Matches
Abdul Majeed Waris,gh GHA,FW,Strasbourg,fr Ligue 1,27,1991,4.1,2,0,0,7,2,0,28.6,1.70,0.49,0.29,1.00,1.8,1.8,0.26,+0.2,+0.2,Matches
Žan Majer,si SVN,MF,Lecce,it Serie A,27,1992,17.8,1,0,0,20,8,0,40.0,1.12,0.45,0.05,0.13,2.1,2.1,0.10,-1.1,-1.1,Matches
Jean-Victor Makengo,fr FRA,"MF,FW",Toulouse,fr Ligue 1,21,1998,11.0,2,0,0,14,4,0,28.6,1.28,0.36,0.14,0.50,0.8,0.8,0.05,+1.2,+1.2,Matches
Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,24,1995,32.2,2,0,0,32,11,0,34.4,0.99,0.34,0.06,0.18,3.1,3.1,0.10,-1.1,-1.1,Matches
Nikola Maksimović,rs SRB,DF,Napoli,it Serie A,27,1991,19.0,1,0,0,3,1,0,33.3,0.16,0.05,0.33,1.00,0.5,0.5,0.16,+0.5,+0.5,Matches
Kévin Malcuit,ma MAR,DF,Napoli,it Serie A,28,1991,2.8,0,0,0,2,0,0,0.0,0.72,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
Daniel Maldini,it ITA,MF,Milan,it Serie A,17,2001,0.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
Ruslan Malinovskyi,ua UKR,"MF,FW",Atalanta,it Serie A,26,1993,16.2,7,0,1,71,26,10,36.6,4.38,1.60,0.10,0.27,4.7,3.9,0.06,+2.3,+3.1,Matches
Yunus Mallı,tr TUR,"FW,MF",Union Berlin,de Bundesliga,27,1992,7.5,0,0,0,10,4,0,40.0,1.34,0.53,0.00,0.00,0.8,0.8,0.08,-0.8,-0.8,Matches
